abbot,
Adrian,
Ambrose,
Andrew,
Andrewe,
archbishop,
Archebalde,
Arthur,
Barnaby,
bishop,
Brian,
byshop,
Charles,
Christierna,
coronell,
counte,
Cutbert,
Cuthbert,
Dauid,David
Doctor,
Dudley,
duke,
earle,
Edward,
Edwarde,
Elisabeth,
Elizabeth,
Emanuell,
Erle,(earl)
Ferdinando,
Francis,
Franncis,
Frauncis,
George,
Gerneys,
Gerueys,
Gray,
Henrie,
Henry,
Howard,
Iames,(James)
Iohn,
knight,
Lard,(scottish nobleman)
Laurence,
Leonor,
lord maior,
Ludouico,
Maister,
Margaret,
Marie,
Marques,(marquess)
Matthew,
Maurice,
Monluc,
Nicholas,
Peeter,
Philibert,
Philip,
Philippe,
Prince,
Priour,
Queene,
quéene,
Raufe,
Rause,
Richard,
Richarde,
Robert,
Roberte,
Rowland,
Scattergood,
sir,
Thomas,
Trombull,
VViliam,
William,
