paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
22,Thomas,48,54,ſonne to,Fitz,ſonne to Thomas Fitz
24,Thomas,222,228,Saint,Court,Saint Thomas Court
25,Erle of Ormond,1477,1491,The,,The Erle of Ormond
35,Cooke,276,281,wyth hys,: hauyng,wyth hys Cooke : hauyng
35,Cooke,453,458,leauyng the,vncontrold,leauyng the Cooke vncontrold
43,Walter,603,609,receyued by,Fitz,receyued by Walter Fitz
43,Walter,622,628,"Simons,",Fitz,"Simons, Walter Fitz"
47,Margaret,46,54,and,Fitz,and Margaret Fitz
47,Margaret,131,139,ſiſter,Fitz,ſiſter Margaret Fitz
48,Margaret,48,56,Lady,ſuſteyned,Lady Margaret ſuſteyned
50,Margaret,7,15,Truely,", quoth","Truely Margaret , quoth"
52,Margaret,72,80,Lady,began,Lady Margaret began
54,Thomas,35,41,Fitz,Lord,Fitz Thomas Lord
54,Thomas,91,97,Fitz,", of Lackragh","Fitz Thomas , of Lackragh"
54,Thomas,173,179,Lieutenaunt,Howarde,Lieutenaunt Thomas Howarde
54,Duke of Northfolke,219,237,after,",Surrey","after Duke of Northfolke ,Surrey"
58,Iohn,33,37,leuyed by,Fitz,leuyed by Iohn Fitz
58,Iohn,50,54,"Simons,",Fitz,"Simons, Iohn Fitz"
70,Robert,264,270,,Talbot,Robert Talbot
70,Talbot,271,277,Robert,of Belgard,Robert Talbot of Belgard
72,Robert,0,6,,Talbot,Robert Talbot
72,Talbot,7,13,Robert,of Belgard,Robert Talbot of Belgard
73,Talbot,58,64,Roberte,of Belgarde,Roberte Talbot of Belgarde
74,Margaret,22,30,,Counteſſe,Margaret Counteſſe
77,Herbert,134,141,Fitz,", ſeconde","Fitz Herbert , ſeconde"
82,Charles,961,968,went to,the Emperoure,went to Charles the Emperoure
91,innocent,361,369,ouerthrow an,perſon,ouerthrow an innocent perſon
94,William,121,128,"yeares,Sir",Skeffington,"yeares,Sir William Skeffington"
94,William,166,173,ſir,Skeffington,ſir William Skeffington
95,Edward,59,65,"Kildare,",Staples,"Kildare, Edward Staples"
95,Edward,95,101,and,Staples,and Edward Staples
95,Thomas,205,211,"Proceſſion,",Fitz,"Proceſſion, Thomas Fitz"
