name,type,confidence,basis_for_guess,index_letter,page_refs,index_entry,index_entry_original
AAron,person,0.84,biographical event,A,88.32,"AAron and Iulius, martyred for ye faith of Christ. 88.32","AAron and Iulius, martyred for ye faith of Chriſt. 88.32"
Aaron,uncertain,0.2,"proper name, but no clear signal",A,722.90,Aaron a Iew payd to Henry the thyrde thirtie thousand markes. 722.90,Aaron a Iew payd to Hen|ry the thyrde thirtie thouſand markes. 722.90
Abell,person,0.86,biographical event,A,1580.40.,Abell hanged for the supremacie 1580.40.,Abell hanged for the ſupremacie 1580.40.
Abbot of Westminster,person,0.64,title of rank in name; used elsewhere as a location; biographical event,A,pag. 1 <?>. col. 1. lin. 5. dyeth sodainly. pa. 1129. col. 1 li. 39,Abbot of Westminster conspireth against Henry ye .4 pag. 1 <?>. col. 1. lin. 5. dyeth sodainly. pa. 1129. col. 1 li. 39,Abbot of Weſtminſter conſpi|reth againſt Henry ye .4 pag. 1 <?>. col. 1. lin. 5. dyeth ſo|dainly. pa. 1129. col. 1 li. 39
Abbey of Peterburgh,place,0.92,place-type word in name; used elsewhere as a location; described by rank/office,A,,Abbey of Peterburgh & Crowland spoyled by King Iohn. 604.73.,Abbey of Peterburgh & Crow|land ſpoyled by King Iohn. 604.73.
Abbot of Saint Albons,person,0.74,title of rank in name,A,610.9.,Abbot of Saint Albons payeth foure score markes to Lewes in ye name of homage. 610.9.,Abbot of Saint Albons payeth foure ſcore markes to Lewes in ye name of homage. 610.9.
Abbey of Lucresse,place,0.97,place-type word in name; used elsewhere as a location,A,618.12.,Abbey of Lucresse conmonly called delacresse built by Radulen Erle of Chester. 618.12.,Abbey of Lucreſſe cõmõly called delacreſſe built by Radulen Erle of Cheſter. 618.12.
Abbot of Westminster William,person,0.71,given name in entry; title of rank in name; used elsewhere as a location; biographical event,A,582.90.,"Abbot of Westminster William deposed for wasting the reuenues of the house, and for inconstancie. 582.90.","Abbot of Weſtminſter Willi|am depoſed for waſting the reuenues of the houſe, and for inconſtancie. 582.90."
Abbot of Hales,person,0.82,title of rank in name; biographical event,A,pag. 1154. col. 1. line. 2.,Abbot of Hales hanged. pag. 1154. col. 1. line. 2.,Abbot of Hales hanged. pag. 1154. col. 1. line. 2.
Abbey Church of Batteil,place,0.97,place-type word in name; used elsewhere as a location,A,325.36,"Abbey Church of Batteil, dedicated to S. Martin. 325.36","Abbey Church of Batteil, dedi|cated to S. Martin. 325.36"
Abbay of Amphibalus,place,0.97,place-type word in name; used elsewhere as a location,A,109.6.,Abbay of Amphibalus in Winchester. 109.6.,Abbay of Amphibalus in Win|cheſter. 109.6.
Abingdon battaile,place,0.97,place-type word in name; used elsewhere as a location,A,213.33.,"Abingdon battaile, fought betweene the Englishmen and Danes with equall victorie. 213.33.","Abingdon battaile, fought be|tweene the Engliſhmen and Danes with equall victorie. 213.33."
