name,type,confidence,n_entries,spelling_variants,index_letters,example_entry
Abbay of Amphibalus,place,0.97,1,Abbay of Amphibalus,A,Abbay of Amphibalus in Winchester. 109.6.
Abbey Church of Batteil,place,0.97,1,Abbey Church of Batteil,A,"Abbey Church of Batteil, dedicated to S. Martin. 325.36"
Abbey of Lucresse,place,0.97,1,Abbey of Lucresse,A,Abbey of Lucresse conmonly called delacresse built by Radulen Erle of Chester. 618.12.
Abbey of Peterburgh,place,0.92,1,Abbey of Peterburgh,A,Abbey of Peterburgh & Crowland spoyled by King Iohn. 604.73.
Abell,person,0.86,1,Abell,A,Abell hanged for the supremacie 1580.40.
Abingdon abbey,place,0.95,2,Abingdon Abbey | Abingdon abbey,A,"Abingdon Abbey finished, and set in good order. 234.7."
Abingdon battaile,place,0.97,2,Abingdon battaile,A,"Abingdon battaile, one of the forest foughten fieldes that had bin hearde of in those dayes. 213.31."
Abirnethi,uncertain,0.2,1,Abirnethi,A,"Abirnethi, and the peace there concluded. 307.68."
Abbot of Hales,person,0.82,1,Abbot of Hales,A,Abbot of Hales hanged. pag. 1154. col. 1. line. 2.
Abbot of Saint Albons,person,0.74,1,Abbot of Saint Albons,A,Abbot of Saint Albons payeth foure score markes to Lewes in ye name of homage. 610.9.
Abbot of Westminster,person,0.64,1,Abbot of Westminster,A,Abbot of Westminster conspireth against Henry ye .4 pag. 1 <?>. col. 1. lin. 5. dyeth sodainly. pa. 1129. col. 1 li. 39
Abbot of Westminster William,person,0.71,1,Abbot of Westminster William,A,"Abbot of Westminster William deposed for wasting the reuenues of the house, and for inconstancie. 582.90."
Absolon,person,0.81,1,Absolon,A,Absolon a Monke of Canterburie. 382.97.
Aburgalieny,uncertain,0.45,1,Aburgalieny,A,Aburgalieny Lord committed to the tower. 1510.27. confesseth misprison of treason. 1519.45.
Aburgenny,person,0.85,1,Aburgenny,A,Aburgenny Lord distresseth the Kentishe rebels. 1725.20.
Acca,person,0.84,2,Acca,A,"Acca, daughter to Alla, & sister to Edwine. 155.76."
Acce,place,0.81,1,Acce,A,"Acce of land, how many pearches it conteineth. 312.101."
Achelnotus,person,0.91,1,Achelnotus,A,"Achelnotus, Archbyshop of Cãtorbury. 262.115."
Achikelmeslawe,place,0.89,1,Achikelmeslawe,A,"Achikelmeslawe, spoyled by the Danes. 244.36."
Accorde,person,0.83,1,Accorde,A,"Accorde made betweene kyng Maximianus, and Conan Meridock, Duke of Cornewall. 95.57."
Acres Citie,place,0.97,1,Acres Citie,A,Acres Citie besieged by the Christians. 493.73. surrendred into ye Christian mens handes. 500.79.
Act,uncertain,0.2,1,Act,A,Act against fishemongers. 1040 10. b. repealed. 1042.23. a.
Ada,person,0.97,1,Ada,A,"Ada, the sonne of Ida, created King of Brenitia. 140.59."
Adam,person,0.97,1,Adam,A,Adam Byshop of Hereford arested. 873.53. b. his Oration to the armie. 879.16. b
Adam Banester,person,0.97,1,Adam Banester,A,Adam Banester hanged. 854.19. a.
Adarstone,uncertain,0.45,1,Adarstone,A,Adarstone a little towne. page. 1415. col. 1. line. 37. page. 1416. col. 2. line. 27.
Adela,person,0.97,3,Adela,A,"Adela, daughter to the French King giuen in mariage to Richard sonne to King Henrie the second. 438.116."
Adelbert,person,0.7,1,Adelbert,A,Adelbert succeedeth Egbert in the Archbishopricke of York. 199.25.
Adelicia,person,0.97,1,Adelicia,A,"Adelicia, daughter to the Duke of Lor<?>yne, marryed to king Henrie the first. 358.26."
Adeline,person,0.8,2,Adeline,A,"Adeline with his armie of rebelles, discomfited, and pardoned. 193.79."
Adeliza,person,0.95,1,Adeliza,A,"Adeliza, daughter to Duke William of Normãdie. 283.<?>5."
Adelme,person,0.7,1,Adelme,A,"Adelme, succeedeth Pleymond in the Archbyshoprick of Cãtorburie. 224.8."
Adelme Erle,person,0.94,1,Adelme Erle,A,"Adelme Erle moueth a rebellion, against Cuthred King of West Saxons. 193.71."
Adelstan,person,0.91,1,Adelstan,A,"Adelstan, Byshop of Shirebourne. 206.57."
Adelstane,person,0.97,15,Adelstane,A,Adelstane ordeyned Byshop of Saint Germans in Cornwall. 223.56.
Adelstans,person,0.8,1,Adelstans,A,Adelstans swoorde restored to the s<?>bbard by myracle. <?>26.68.
Adelward,uncertain,0.2,1,Adelward,A,Adelward put to death. 260.43.
Adelwold,person,0.94,6,Adelwold,A,"Adelwold, byshop of Winchester. <?>34.19."
Adethelme Erle,person,0.97,1,Adethelme Erle,A,"Adethelme Erle, slayne by the Danes. 206.83"
