paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
12,Elizabeth,180,189,Queene,.,Queene Elizabeth .
12,Elizabeth,646,655,declare the Ladie,sister to the sayde,declare the Ladie Elizabeth sister to the sayde
12,Queene,173,179,,Elizabeth.,Queene Elizabeth.
12,Queene,258,264,,Mary was deceassed,Queene Mary was deceassed
12,Queene,676,682,sister to the sayde,to,sister to the sayde Queene to
14,Elizabeth,570,579,which is the Ladie,", second daughter","which is the Ladie Elizabeth , second daughter"
14,Elizabeth,1082,1091,the sayde Ladie,Queene of thys,the sayde Ladie Elizabeth Queene of thys
14,Elizabeth,1248,1257,God saue Queene,", long may Queene","God saue Queene Elizabeth , long may Queene"
14,Elizabeth,1275,1284,long may Queene,raigne ouer,long may Queene Elizabeth raigne ouer
14,Elizabeth,1712,1721,"made,The Ladie",proclaymed,"made,The Ladie Elizabeth proclaymed"
14,Elizabeth,1853,1862,"and tytle,",by the grace of,"and tytle, Elizabeth by the grace of"
14,Elizabeth,2713,2722,soueraigne Ladie Q.,began hir happie,soueraigne Ladie Q. Elizabeth began hir happie
14,England,1893,1900,of God Queene of,", Fraunce and","of God Queene of England , Fraunce and"
14,Queene,249,255,soueraigne Ladie,"Marie, which happe","soueraigne Ladie Queene Marie, which happe"
14,Queene,729,735,sayd late,", of whose most","sayd late Queene , of whose most"
14,Queene,1092,1098,Ladie Elizabeth,of thys realme,Ladie Elizabeth Queene of thys realme
14,Queene,1241,1247,"of ioy, God saue","Elizabeth, long","of ioy, God saue Queene Elizabeth, long"
14,Queene,1268,1274,"Elizabeth, long may",Elizabeth raigne,"Elizabeth, long may Queene Elizabeth raigne"
14,Queene,1754,1760,,. in most solemne,Queene . in most solemne
14,Queene,1803,1809,proclamed the newe,", by thys name","proclamed the newe Queene , by thys name"
14,Queene,1883,1889,the grace of God,"of England, Fraunce","the grace of God Queene of England, Fraunce"
19,Queene,75,81,,Mary was ryghte,Queene Mary was ryghte
19,Queene,196,202,of Westminster.,Mary buryed. Hir,of Westminster. Queene Mary buryed. Hir
20,England,167,174,"of the armes, of",and,"of the armes, of England and"
22,England,1025,1032,"Mary, Queene of",", in this present","Mary, Queene of England , in this present"
22,Queene,39,45,deceasse of the,of Fraunce.Moreouer,deceasse of the Queene of Fraunce.Moreouer
22,Queene,265,271,,"Leonore, first","Queene Leonore, first"
22,Queene,503,509,"other sister Mary,",of Hu,"other sister Mary, Queene of Hu"
