paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
12,riuers,1461,1467,ſuch,as fall,ſuch riuers as fall
13,riuers,2974,2980,courſes of,and ſcituation,courſes of riuers and ſcituation
13,miles,7461,7466,trauailed 40,in all,trauailed 40 miles in all
31,king Edward,434,445,had not,ſurnamed,had not king Edward ſurnamed
37,Samuell,16,23,firſt of,you ſhall,firſt of Samuell you ſhall
37,iacke,188,193,Taberde or,was of,Taberde or iacke was of
38,Samuell,17,24,ſecond of,",Cap.","ſecond of Samuell ,Cap."
38,Dauid,356,361,tyme of,", which","tyme of Dauid , which"
39,Iohn,1061,1065,doeth,Bocaſe,doeth Iohn Bocaſe
40,Weſton,94,100,at.,.The bodye,at. Weſton .The bodye
40,Iohn,1085,1089,little,", being","little Iohn , being"
40,Otho,1563,1567,dedicated to,. 4. howe,dedicated to Otho . 4. howe
41,Thomas,19,25,,,Thomas
42,Moore,185,190,of the,", ſixe","of the Moore , ſixe"
42,miles,197,202,ſixe,by Eaſt,ſixe miles by Eaſt
42,Carleill,216,224,from,", a coffin","from Carleill , a coffin"
43,Grafton,9,16,Richarde,", in his","Richarde Grafton , in his"
43,Richard Grafton,108,123,"foote,",. &. his,"foote, Richard Grafton . &. his"
44,king Arthur,168,179,body of,being,body of king Arthur being
44,William,331,338,carcas of,conquerour,carcas of William conquerour
48,Alexander,1154,1163,time of,the,time of Alexander the
48,Alexander,1328,1337,whome,,whome Alexander
58,Iohn,1153,1157,and,Gowre,and Iohn Gowre
58,Richard the ſecond,1179,1197,time of,", &","time of Richard the ſecond , &"
58,Iohn,1233,1237,thē of,Scoga,thē of Iohn Scoga
58,Iohn,1248,1252,"Scogā, &",Lydgate,"Scogā, & Iohn Lydgate"
64,miles,376,381,200.,in length,200. miles in length
64,riuers,469,475,by the,Sauerne,by the riuers Sauerne
70,riuers,623,629,lakes and,", that","lakes and riuers , that"
71,Lambert,605,612,Maiſter,in his,Maiſter Lambert in his
73,riuers,779,785,accompt of,", thinking","accompt of riuers , thinking"
74,Wincheſter,687,697,,", except","Wincheſter , except"
79,Stafford,222,230,"Nottingham,",", Huntington","Nottingham, Stafford , Huntington"
99,Paule,582,587,that,the Apoſtle,that Paule the Apoſtle
99,Paule,852,857,more of,then,more of Paule then
99,Peter,863,868,then,", or the","then Peter , or the"
100,Paule,2991,2996,S.,", as one","S. Paule , as one"
115,Iohn,1169,1173,,Bouchet,Iohn Bouchet
115,Alexander,1762,1771,prince,Neccham,prince Alexander Neccham
120,Roger,2418,2423,that one,Bak,that one Roger Bak
120,Roger,2493,2498,after.,Bacon,after. Roger Bacon
120,Bacon,2499,2504,Roger,his,Roger Bacon his
121,Paule,646,651,"exerciſe, as",calleth,"exerciſe, as Paule calleth"
126,Iohn,325,329,diſciple to,the 24,diſciple to Iohn the 24
131,miles,658,663,foure,in,foure miles in
133,Lambert,1294,1301,M.,hath,M. Lambert hath
137,riuers,549,555,freſh,",","freſh riuers ,"
137,king Iohn,1417,1426,alſo,", in the","alſo king Iohn , in the"
137,William,1810,1817,daughter of,le Groſſe,daughter of William le Groſſe
137,William,1990,1997,thirdlye to,de Fortes,thirdlye to William de Fortes
137,Richard,2115,2122,king,ye firſt,king Richard ye firſt
137,king Edward,2382,2393,whō,the,whō king Edward the
138,Wincheſter,750,760,of,be patrone,of Wincheſter be patrone
138,king Iohn,2260,2269,betwéene,of England,betwéene king Iohn of England
138,Thomas,2391,2397,"decreaſe, as",Sulmo,"decreaſe, as Thomas Sulmo"
139,miles,90,95,hauing 30.,in co,hauing 30. miles in co
140,miles,994,999,ſeuen,in compaſſe,ſeuen miles in compaſſe
145,miles,1491,1496,Englyſhe,", as ſome","Englyſhe miles , as ſome"
146,miles,98,103,fiue,ouer,fiue miles ouer
152,miles,242,247,then two,from,then two miles from
152,Dauid,993,998,,in Wales,Dauid in Wales
156,king Edward,1283,1294,ſometyme by,the firſt,ſometyme by king Edward the firſt
156,Hugh,2853,2857,leading of,Earle,leading of Hugh Earle
156,Hugh,2896,2900,&,of Shreweſbury,& Hugh of Shreweſbury
156,gréene,4223,4229,and,gréetes,and gréene gréetes
158,miles,227,232,300.,. Eubonia,300. miles . Eubonia
158,riuers,727,733,are two,in the,are two riuers in the
158,William,1103,1110,whereof,Maſſmebery,whereof William Maſſmebery
159,Riuers,516,522,"waters,",as firſt,"waters, Riuers as firſt"
163,Miles,2648,2653,15.,betwéene,15. Miles betwéene
166,riuers,2827,2833,certaine,", to be","certaine riuers , to be"
166,Lewis,3294,3299,followeth,", ſcituate","followeth Lewis , ſcituate"
166,Lewis,3332,3337,"Deucalidon ſea,",▪ called,"Deucalidon ſea, Lewis ▪ called"
167,tame,415,419,eyther ſo,", or ſo","eyther ſo tame , or ſo"
169,winter,834,840,the,. Otes,the winter . Otes
169,tame,1846,1850,wyld and,fowles,wyld and tame fowles
171,tame,1335,1339,very,and gentle,very tame and gentle
171,miles,2605,2610,about 8.,in length,about 8. miles in length
172,Peter,524,529,of S.,. And,of S. Peter . And
172,riuers,1467,1473,noble,herafter,noble riuers herafter
172,Iohn,3628,3632,wherof,A,wherof Iohn A
173,riuers,325,331,our,. For,our riuers . For
173,riuers,3830,3836,that of,: making,that of riuers : making
173,Iohn,8251,8255,alſo Sir,Thinne,alſo Sir Iohn Thinne
174,miles,172,177,eighty,", if it","eighty miles , if it"
174,riuers,300,306,famous,of thys,famous riuers of thys
174,Roch,942,946,"Roches,",,"Roches, Roch"
175,miles,933,938,ſeauentye,", within","ſeauentye miles , within"
182,Marie,652,657,by S.,,by S. Marie
185,miles,556,561,many,from,many miles from
196,miles,240,245,about 3.,by water,about 3. miles by water
198,Wincheſter,440,450,,", from","Wincheſter , from"
199,miles,207,212,two,from,two miles from
199,miles,699,704,ſeauen,", vntill","ſeauen miles , vntill"
200,Browne,773,779,from,Candiuer,from Browne Candiuer
202,Barton,722,728,"Fullington,",",","Fullington, Barton ,"
202,Wallop,1746,1752,vpper,", Weſt","vpper Wallop , Weſt"
202,Wallop,1769,1775,nether,", by Bucholt","nether Wallop , by Bucholt"
207,miles,1976,1981,foure,", and","foure miles , and"
207,miles,2081,2086,fiue,", to Chriſtes","fiue miles , to Chriſtes"
208,miles,150,155,thrée,"of, is","thrée miles of, is"
208,miles,361,366,fiue,from,fiue miles from
208,miles,601,606,foure,", and","foure miles , and"
209,miles,187,192,foure,aboue,foure miles aboue
209,miles,882,887,ſeuen,"of, where","ſeuen miles of, where"
209,miles,1128,1133,ſeuē,", as a","ſeuē miles , as a"
209,miles,2696,2701,thrée,aboue,thrée miles aboue
209,miles,2873,2878,thrée,by north,thrée miles by north
210,Winter,98,104,,chifes,Winter chifes
210,moore,600,605,in a,hanging,in a moore hanging
210,miles,748,753,fiue,from,fiue miles from
215,miles,342,347,twelue,from,twelue miles from
215,winter,763,769,but in,it rageth,but in winter it rageth
216,miles,609,614,thrée,"of, as","thrée miles of, as"
217,miles,195,200,foure,. From,foure miles . From
218,miles,51,56,fiftene,,fiftene miles
218,miles,998,1003,other two,it commeth,other two miles it commeth
219,miles,1163,1168,about 4.,by ſouth,about 4. miles by ſouth
222,Moore,363,368,Fawy,,Fawy Moore
222,miles,443,448,ſixetene,from,ſixetene miles from
223,King Edward,42,53,vnder,ye firſt,vnder King Edward ye firſt
223,Edward the third,64,80,"firſt,",", & Henry","firſt, Edward the third , & Henry"
223,king Edward,626,637,time of,the third,time of king Edward the third
224,miles,606,611,is 3.,from,is 3. miles from
224,Treſilian,3076,3085,halfe to,bridge,halfe to Treſilian bridge
225,miles,26,31,four,frō,four miles frō
225,miles,1005,1010,foure,or more,foure miles or more
226,Alane,2369,2374,goeth in,two myles,goeth in Alane two myles
226,ſtraw,3491,3496,in the,", whereof","in the ſtraw , whereof"
226,Arthur,3629,3635,where,fought,where Arthur fought
226,miles,4712,4717,riſeth 3.,by northeaſt,riſeth 3. miles by northeaſt
226,moore,4772,4777,in a,euen,in a moore euen
226,miles,5174,5179,then two,lower,then two miles lower
226,miles,5472,5477,ſeuen,", a","ſeuen miles , a"
226,miles,7880,7885,ſeuē,frō,ſeuē miles frō
226,miles,8614,8619,flowing two,aboue,flowing two miles aboue
234,miles,1195,1200,within two,,within two miles
235,miles,2013,2018,thrée,.Ogur,thrée miles .Ogur
235,miles,2696,2701,about two,and a,about two miles and a
235,miles,2889,2894,is two,", and","is two miles , and"
236,miles,237,242,24.,from,24. miles from
236,miles,1621,1626,Foure,alſo,Foure miles alſo
236,miles,1798,1803,Furthermore 2.,beneath,Furthermore 2. miles beneath
237,miles,149,154,thrée,from,thrée miles from
237,Dauid,1948,1953,Dewy or,all,Dewy or Dauid all
238,miles,249,254,foure,is Saluache,foure miles is Saluache
239,miles,482,487,foure,", and","foure miles , and"
242,miles,860,865,foure,farder,foure miles farder
243,miles,2485,2490,iij.,of to,iij. miles of to
244,miles,151,156,ſea two,aboue,ſea two miles aboue
244,riuers,642,648,betwéene two,. Botes,betwéene two riuers . Botes
244,miles,1653,1658,is two,aboue,is two miles aboue
244,miles,2098,2103,ſea 2.,aboue,ſea 2. miles aboue
244,Ros,3107,3110,Roſe or,and next,Roſe or Ros and next
244,miles,3784,3789,foure,lower,foure miles lower
245,dale,167,171,Rybbes,about,Rybbes dale about
245,miles,417,422,tenne,from,tenne miles from
