paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
14,Queene Marie,249,261,Ladie,", which","Ladie Queene Marie , which"
14,Henrie the eight,665,681,King,", and","King Henrie the eight , and"
14,Ferdinando,3029,3039,Empire of,the first,Empire of Ferdinando the first
14,Henrie,3150,3156,raigne of,the,raigne of Henrie the
14,Marie,3252,3257,raigne of,Q.,raigne of Marie Q.
15,Marie,136,141,Poole.,", Reginalde","Poole. Marie , Reginalde"
21,Charles,228,235,for,the seuenth,for Charles the seuenth
22,Philip,813,819,King,,King Philip
33,Queene Anne,1541,1552,Ladye,", wise","Ladye Queene Anne , wise"
59,Iohn,1192,1196,commaunding Sir,Parrat,commaunding Sir Iohn Parrat
64,Iohn,216,220,by Sir,Parrat,by Sir Iohn Parrat
76,Henrie the eight,1892,1908,king,hir graces,king Henrie the eight hir graces
85,Henrie the eight,147,163,king,. A naturall,king Henrie the eight . A naturall
96,Dimmocke,84,92,Edwarde,. sir,Edwarde Dimmocke . sir
96,Dimmocke,106,114,Edwarde,knight,Edwarde Dimmocke knight
99,Queene Marie,555,567,dayes of,he had,dayes of Queene Marie he had
102,Grafton,164,171,,.,Grafton .
108,Smith,276,281,for a,to open,for a Smith to open
110,Iohn,745,749,Iugge and,Cawood,Iugge and Iohn Cawood
113,Robert,4888,4894,by one,,by one Robert
113,Winchester,7042,7052,Bishop of,and his,Bishop of Winchester and his
113,Winchester,8846,8856,Bishoppes of,and Lyncolne,Bishoppes of Winchester and Lyncolne
122,William,57,64,Lorde,Howard,Lorde William Howard
122,Howard,65,71,William,Baron,William Howard Baron
124,Guido,472,477,"King,",Caualcanti,"King, Guido Caualcanti"
126,Iohn,4,8,Sir,Mason,Sir Iohn Mason
126,Iohn,27,31,"Knighte,Sir",Mason,"Knighte,Sir Iohn Mason"
127,Iohn,59,63,sayde Sir,Mason,sayde Sir Iohn Mason
130,Wentworth,57,66,Lorde,",The Lords","Lorde Wentworth ,The Lords"
130,Wentworth,77,86,Lords,arraigned,Lords Wentworth arraigned
131,king Edward,896,907,brother,", as of","brother king Edward , as of"
132,King Edward,283,294,brother,.,brother King Edward .
137,Sanders,435,442,Captayne,", brought","Captayne Sanders , brought"
143,Iohn,177,181,Mary and,", standing","Mary and Iohn , standing"
145,Margaret,484,492,Lady,of,Lady Margaret of
147,Parker,7,13,Doctor,Archebyshop,Doctor Parker Archebyshop
148,Winchester,39,49,Marques of,", Lorde","Marques of Winchester , Lorde"
157,William Winter,20,34,maister,",Sir William","maister William Winter ,Sir William"
157,William Winter,39,53,"Winter,Sir",.,"Winter,Sir William Winter ."
159,Howard,136,142,George,departed,George Howard departed
165,Howard,11,17,George,", generall","George Howard , generall"
168,Thomas,0,6,,Hugghens,Thomas Hugghens
169,Thomas,0,6,,Gower,Thomas Gower
170,William,8,15,Maister,Pelham,Maister William Pelham
171,Edward,0,6,,Randol,Edward Randol
172,Thomas,8,14,Maister,Bourrough,Maister Thomas Bourrough
178,Peter,51,56,that,Miace,that Peter Miace
183,William,235,242,sir,Kirkaudy,sir William Kirkaudy
185,Howard,108,114,George,", with","George Howard , with"
186,William,198,205,of one,Atkinson,of one William Atkinson
188,Howard,115,121,George,", Sir","George Howard , Sir"
191,Robert,73,79,"reault,",,"reault, Robert"
193,Howard,549,555,George,", and","George Howard , and"
195,Howard,250,256,George,", and","George Howard , and"
196,Howard,149,155,George,", went","George Howard , went"
209,Howard,50,56,George,", returned","George Howard , returned"
211,Howard,42,48,George,", and","George Howard , and"
219,Winter,105,111,maister,", vpon","maister Winter , vpon"
227,Arthur,124,130,maister,Grey,maister Arthur Grey
228,Arthur,25,31,Maister,Grey,Maister Arthur Grey
228,Arthur,72,78,maister,Grey,maister Arthur Grey
232,Thomas,265,271,,Hesketh,Thomas Hesketh
