paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
12,Elizabeth,180,189,Queene,.,Queene Elizabeth .
12,Elizabeth,646,655,declare the Ladie,sister to the sayde,declare the Ladie Elizabeth sister to the sayde
14,Elizabeth,570,579,which is the Ladie,", second daughter","which is the Ladie Elizabeth , second daughter"
14,Elizabeth,1082,1091,the sayde Ladie,Queene of thys,the sayde Ladie Elizabeth Queene of thys
14,Elizabeth,1248,1257,God saue Queene,", long may Queene","God saue Queene Elizabeth , long may Queene"
14,Elizabeth,1275,1284,long may Queene,raigne ouer,long may Queene Elizabeth raigne ouer
14,Elizabeth,1712,1721,"made,The Ladie",proclaymed,"made,The Ladie Elizabeth proclaymed"
14,Elizabeth,1853,1862,"and tytle,",by the grace of,"and tytle, Elizabeth by the grace of"
14,Elizabeth,2713,2722,soueraigne Ladie Q.,began hir happie,soueraigne Ladie Q. Elizabeth began hir happie
29,Elizabeth,242,251,soueraigne Lady,by the grace of,soueraigne Lady Elizabeth by the grace of
33,Elizabeth,165,174,,"his wife, daughter","Elizabeth his wife, daughter"
33,Elizabeth,556,565,which was Queene,", being heire to","which was Queene Elizabeth , being heire to"
33,Elizabeth,1653,1662,soueraine Ladye Q.,"that now is, both","soueraine Ladye Q. Elizabeth that now is, both"
34,Elizabeth,283,292,excellent Maiestie,", now our most","excellent Maiestie Elizabeth , now our most"
37,Elizabeth,192,201,"then ende, when",", daughter to Edwardd","then ende, when Elizabeth , daughter to Edwardd"
37,Elizabeth,394,403,name was,", and for somuch","name was Elizabeth , and for somuch"
37,Elizabeth,579,588,that the lyke as,,that the lyke as Elizabeth
37,Elizabeth,658,667,so shee another,",  mighte","so shee another Elizabeth ,  mighte"
104,Elizabeth,323,332,Princesse Queene,", they returned","Princesse Queene Elizabeth , they returned"
311,Elizabeth,110,119,"mightie princesse,",by the grace of,"mightie princesse, Elizabeth by the grace of"
821,Elizabeth,150,159,"Mary, and Queene",. All these he serued,"Mary, and Queene Elizabeth . All these he serued"
850,Elizabeth,752,761,,. They returned,Elizabeth . They returned
874,Elizabeth,1159,1168,"England,Queene",a,"England,Queene Elizabeth a"
929,Elizabeth,294,303,by the names of,", Marie, Margaret","by the names of Elizabeth , Marie, Margaret"
944,Elizabeth,369,378,soueraigne Lady Queene,", whose happie state","soueraigne Lady Queene Elizabeth , whose happie state"
